,index,0,lfc_mean
0,NKG7,4,-1.8913665486916438
1,EIF3CL,4,-5.499196180112953
2,HIST2H2AA4,4,-4.488062657228342
3,CTSW,4,-1.7208874129669314
5,HBG2,3,-6.569531922671583
6,U2AF1,4,-3.4509489376426754
7,U2AF1L5,4,-3.8345439409621767
8,TYROBP,4,-4.439295844984146
11,AC004556.1,4,-3.693842381619601
12,LMNA,3,-1.5429690324788101
13,SLX1A,4,-4.375130601227528
14,BOLA2B,5,-2.761040297569177
15,SLX1B,4,-4.502913365390706
17,HLA-DRA,3,-2.5834186833327024
18,PLEK,3,-3.192253212872551
19,FCER1G,4,-3.2036060482103927
20,EIF3C,4,-2.5884634684340435
23,NR4A2,3,-1.477819132600193
24,SMN1,5,-2.8277524732838772
25,BOLA2,4,-5.459573351591563
26,NCR3,4,-2.0813120208261235
27,SMN2,4,-2.607366923746488
28,PTGER2,4,-3.3084703706529055
30,ANXA1,3,-2.0704445121129313
33,INPP4B,3,-1.1888612477874894
35,GATD3A,4,-2.754953408474258
36,CISH,3,-1.4633741507743323
38,AC004069.1,3,-3.318398961736554
39,MYO1F,3,-1.8196457567150677
40,SIK1B,4,-2.6780140496727656
41,RGPD2,4,-3.509969876881174
42,TENT5C,4,-2.068411134207079
43,SIK1,4,-2.7191954644877208
45,S100A9,3,-4.839959791841191
48,FP236383.1,4,-6.503864268921948
50,CREM,3,-1.2494678442248823
51,SOCS3,4,-1.2725814973948582
53,HIST1H2AJ,3,-2.877984847318361
54,AHNAK,4,-1.5670616341554764
55,SERF1B,4,-3.543851051659552
57,RTKN2,3,-1.5792072802293735
58,FAM129A,4,-1.7918730632336985
59,CBWD3,4,-2.203223786877474
61,SERF1A,4,-3.5999526524486067
62,SAMHD1,3,-1.2438907916163002
63,RBM4B,3,-1.3654133656700782
66,HLA-DRB1,3,-2.321593611638093
69,CDKN2A,4,-1.6911552564679146
70,HLA-DPA1,3,-2.2541510429166993
71,C16orf74,4,-3.0206903642114464
73,NPIPB4,3,-1.8629741638135633
74,TSPAN32,4,-1.9668764150185516
75,TSPO,4,-1.619795228356421
76,PIM3,4,-1.3681791032782376
77,FAS,3,-1.4307028768542451
79,SOCS2,3,-2.1714613217667513
80,HIST2H4A,4,-4.577367710702852
84,RAB37,3,-1.4226333794771724
89,HLA-DPB1,3,-2.2245995198072817
90,ITGAM,4,-2.5811132495958926
91,LAT2,4,-3.1669544644144545
92,KLRG1,3,-1.4173242880616579
93,UPP1,4,-1.7947081055894876
95,PDE6G,3,-1.4248286235348695
98,KLF2,3,-1.341622084103135
99,CAPN2,4,-1.3609593457044762
104,HIST2H4B,4,-3.8013301261413943
105,RASA3,4,-1.443460335173161
106,NPIPB13,4,-2.5525880803528467
110,OSM,4,-2.1519868396308737
113,GABARAPL1,3,-1.2801975792155955
114,FKBP1C,3,-2.0213350435871797
115,TRADD,3,-1.2783360482851969
118,RASA4B,3,-2.281139739849165
123,HCST,4,-1.2187764230564708
125,PDE4A,3,-1.792987700646738
127,HSBP1L1,3,-1.3566897611266766
131,AC092368.3,4,-3.0506340884965972
132,JUNB,3,-1.2749162320155591
134,DPEP2,3,-1.4761303759868263
135,RNF157,3,-1.8340746520109341
138,SERPINB6,3,-3.048201151586564
140,RGPD5,3,-1.581147699164795
141,A2M-AS1,3,-1.2830891599525602
142,CD55,3,-1.2777183601172506
148,FOSB,3,-1.2902978458430114
154,S1PR4,3,-1.5119156343565574
155,CDC25B,3,-1.2180382905535951
158,CD52,3,-1.2719734489199597
159,PRKX,3,-1.1483929046543213
161,ACOT9,4,-1.2068295225263805
163,RRAS2,3,-1.2030278681358466
165,SORL1,3,-1.1390911939043316
166,SRGAP2B,3,-1.399895440542747
167,MORC2,3,-1.2520294475132625
169,RASSF3,3,-1.2506833719551593
175,BEST1,3,-1.4077953214945573
176,C11orf21,4,-1.5731485627244155
183,AC147067.1,3,-2.5103975594188275
184,AES,3,-1.332671684677323
188,AC004832.6,4,-2.3312511469922983
196,SSBP4,3,-1.325681510192351
202,IL18R1,3,-1.4946599807914318
239,GTF2H2C,3,-1.2133492605447038
